GeneName	MeanOverall	DispOverall	Disp1	Disp2	DispFC	DispLog2FC	ProbDiffDisp	ResultDiffDisp
AC018890.6	0.003	9.377	11.094	6.928	1.834	0.875	0.844	ExcludedFromTesting
AC021188.4	0.011	2.783	3.277	2.079	1.433	0.519	0.754	NoDiff
AC024560.2	0.013	1495.577	15.136	3606.518	0.004	-7.862	1	ExcludedFromTesting
AC024704.2	0.003	16.369	11.898	22.744	0.608	-0.717	0.834	NoDiff
AC026202.3	0.064	3.595	2.41	5.285	0.467	-1.097	0.749	ExcludedFromTesting
AC046143.3	0.001	16.881	22.269	9.2	1.546	0.629	0.869	NoDiff
AC062017.1	0.041	0.442	0.286	0.664	0.476	-1.072	0.779	NoDiff
AC062029.1	0.039	0.479	0.316	0.712	0.432	-1.213	0.824	NoDiff
AC068282.3	0.003	18.191	24.915	8.604	2.819	1.495	0.839	NoDiff
AC069277.2	0.037	3.959	4.827	2.72	1.708	0.772	0.613	NoDiff
AC069513.4	0.007	5.582	3.101	9.118	0.392	-1.353	0.824	NoDiff
AC072062.1	0.02	1.003	0.743	1.373	0.661	-0.598	0.744	ExcludedFromTesting
AC073283.7	0.004	12.741	11.186	14.958	0.745	-0.425	0.799	NoDiff
AC073284.4	0.009	842.578	243.147	1697.298	0.144	-2.797	0.965	GM18502+
AC074117.10	0.038	0.489	0.646	0.265	2.317	1.212	0.754	NoDiff
AC074289.1	0.846	2.733	2.53	3.022	0.832	-0.265	0.005	NoDiff
AC078883.3	0.082	6.139	5.477	7.084	0.773	-0.372	0.412	NoDiff
AC079354.5	0.003	13.023	16.15	8.563	2.107	1.075	0.824	NoDiff
AC079610.2	0.005	542.676	913.425	14.031	15.462	3.951	0.93	NoDiff
AC079767.4	0.143	3.367	3.473	3.216	1.074	0.103	0.005	NoDiff
AC079807.2	0.009	2.963	3.196	2.631	1.071	0.099	0.809	NoDiff
AC079922.3	0.011	2.004	2.341	1.524	1.694	0.76	0.724	NoDiff
AC083949.1	0.004	18.224	26.234	6.803	4.509	2.173	0.869	NoDiff
AC092580.4	0.011	55.697	49.656	64.31	0.771	-0.376	0.477	NoDiff
AC092835.2	0.003	12.949	11.84	14.532	0.984	-0.024	0.799	NoDiff
AC093110.3	0.003	43.389	27.543	65.984	0.531	-0.914	0.794	NoDiff
AC093159.1	0.006	5.695	3.433	8.921	0.495	-1.014	0.774	NoDiff
AC093323.3	0.062	0.244	0.343	0.103	3.423	1.775	0.809	NoDiff
AC093382.1	0.004	10.916	10.866	10.988	1.112	0.153	0.824	NoDiff
AC093388.3	0.013	3.622	5.219	1.344	4.05	2.018	0.854	NoDiff
AC093495.4	0.003	16.703	17.848	15.07	1.667	0.737	0.859	NoDiff
AC093609.1	0.005	677.983	18.606	1618.18	0.014	-6.18	0.99	GM18502+
AC093642.3	0.003	13.454	17.198	8.116	2.986	1.578	0.854	NoDiff
AC093818.1	0.073	2.135	2.149	2.114	0.948	-0.077	0.397	NoDiff
AC096579.13	0.009	12.026	13.883	9.379	1.147	0.198	0.884	ExcludedFromTesting
AC096772.6	0.009	2.387	2.429	2.326	0.962	-0.056	0.734	NoDiff
AC097495.2	0.014	594.992	224.096	1123.847	0.188	-2.413	0.925	NoDiff
AC097662.2	0.004	7.03	8.635	4.742	1.614	0.69	0.789	NoDiff
AC097721.2	0.004	10.755	9.957	11.894	0.864	-0.21	0.764	NoDiff
AC097724.3	0.006	6.027	3.512	9.613	0.341	-1.552	0.804	NoDiff
AC098820.4	0.006	6.082	4.266	8.671	0.415	-1.269	0.819	NoDiff
AC104653.1	0.011	2.206	1.873	2.681	0.722	-0.47	0.774	NoDiff
AC104654.2	0.003	16.382	19.75	11.578	1.622	0.698	0.749	ExcludedFromTesting
AC104655.3	0.002	19.159	13.926	26.62	0.642	-0.638	0.794	ExcludedFromTesting
AC104699.1	0.344	0.515	0.527	0.498	1.049	0.07	0.08	NoDiff
AC104820.2	0.042	2.895	3.219	2.433	1.206	0.27	0.628	NoDiff
AC105760.2	0.014	1.941	2.606	0.994	3.131	1.647	0.844	NoDiff
AC107081.5	0.004	10.771	10.431	11.256	0.987	-0.019	0.824	NoDiff
AC108488.4	0.003	11.01	11.801	9.882	1.185	0.245	0.829	NoDiff
AC109642.1	0.004	10.956	10.77	11.22	1.044	0.062	0.709	NoDiff
AC109826.1	0.021	42.311	1.803	100.071	0.017	-5.888	1	ExcludedFromTesting
AC114730.3	0.021	2235.173	774.462	4317.982	0.195	-2.36	0.92	NoDiff
AC114776.3	0.009	1362.9	923.658	1989.21	0.569	-0.813	0.749	NoDiff
AC116614.1	0.006	12.66	10.482	15.766	0.627	-0.673	0.769	NoDiff
AC123023.1	0.018	1123.424	30.38	2681.982	0.045	-4.47	0.93	NoDiff
AC133528.2	0.011	2.45	2.033	3.046	0.521	-0.942	0.779	NoDiff
AC133644.2	0.007	8.884	3.084	17.155	0.214	-2.224	0.894	NoDiff
AC142528.1	0.03	2.742	4.113	0.787	4.289	2.101	0.905	NoDiff
AC159540.1	0.047	0.92	1.128	0.623	1.696	0.762	0.688	NoDiff
AC195454.1	0.004	6.081	4.994	7.632	0.588	-0.767	0.854	NoDiff
AC241585.2	0.026	0.86	0.887	0.821	1.253	0.325	0.754	NoDiff
AC245100.1	0.151	0.772	1.065	0.354	2.995	1.583	0.915	NoDiff
ACAA1	1.253	0.087	0.087	0.087	0.962	-0.055	0.201	NoDiff
ACAD11	0.013	2.935	2.7	3.27	0.769	-0.38	0.683	NoDiff
ACAD9	0.105	0.272	0.37	0.132	2.76	1.465	0.849	NoDiff
ACADM	1.779	0.24	0.254	0.219	1.171	0.227	0.015	NoDiff
ACAP2	0.441	0.137	0.15	0.119	1.254	0.326	0.492	NoDiff
ACAP3	0.16	0.383	0.579	0.104	6.122	2.614	0.97	ExcludedFromTesting
ACBD3	0.459	0.562	0.608	0.496	1.227	0.295	0.216	ExcludedFromTesting
ACBD6	0.675	0.089	0.107	0.064	1.694	0.76	0.673	NoDiff
ACKR1	0.034	38.499	35.458	42.836	0.826	-0.276	0.196	NoDiff
ACKR2	0.003	12.75	10.656	15.735	0.644	-0.634	0.874	NoDiff
ACKR3	0.005	16.728	25.106	4.782	5.589	2.483	0.93	NoDiff
ACKR4	0.003	25.463	37.09	8.886	8.305	3.054	0.905	NoDiff
ACOT11	0.008	197.112	36.837	425.644	0.089	-3.489	0.995	GM18502+
ACOT7	0.52	0.455	0.623	0.216	2.91	1.541	0.995	ExcludedFromTesting
ACOX3	0.147	0.137	0.126	0.154	0.838	-0.256	0.623	NoDiff
ACOXL	0.02	7.652	7.793	7.45	1.059	0.083	0.472	NoDiff
ACP1	2.906	0.051	0.056	0.043	1.28	0.357	0.256	NoDiff
ACP6	0.09	0.197	0.11	0.32	0.339	-1.559	0.819	NoDiff
ACSL3	0.209	0.268	0.256	0.284	0.927	-0.109	0.563	NoDiff
ACTG2	0.003	34.524	46.732	17.116	2	1	0.879	NoDiff
ACTL6A	0.3	0.211	0.241	0.169	1.41	0.495	0.528	NoDiff
ACTR1B	0.555	0.051	0.056	0.044	1.354	0.437	0.673	NoDiff
ACTR2	1.55	0.089	0.101	0.073	1.376	0.461	0.362	NoDiff
ACTR3	3.359	0.175	0.196	0.145	1.36	0.444	0.151	NoDiff
ACTR8	0.224	0.11	0.12	0.095	1.256	0.329	0.693	NoDiff
ACTRT3	0.005	5.945	5.997	5.872	1.086	0.119	0.789	NoDiff
ACVR1	0.013	52.221	72.611	23.145	3.096	1.63	0.935	NoDiff
ACVR1C	0.002	19.477	15.371	25.332	0.523	-0.935	0.849	ExcludedFromTesting
ACVR2A	0.011	2.668	2.467	2.953	0.9	-0.152	0.739	NoDiff
ACVR2B	0.007	4.036	3.749	4.446	0.703	-0.508	0.809	NoDiff
ACY1	0.01	2.124	2.715	1.281	2.054	1.039	0.869	NoDiff
ACYP2	0.481	0.306	0.325	0.278	1.142	0.191	0.251	ExcludedFromTesting
ADAM15	0.068	0.924	1.202	0.528	2.16	1.111	0.769	NoDiff
ADAM17	0.257	0.341	0.331	0.354	0.972	-0.041	0.402	NoDiff
ADAM23	0.023	2.084	2.319	1.75	1.31	0.389	0.628	NoDiff
ADAMTS4	0.009	4.644	6.645	1.79	3.787	1.921	0.824	NoDiff
ADAMTSL4	0.004	165.632	216.692	92.826	1.512	0.596	0.91	NoDiff
ADAR	1.643	0.127	0.148	0.097	1.508	0.592	0.513	NoDiff
ADCK3	0.114	0.462	0.351	0.621	0.49	-1.029	0.734	NoDiff
ADCY3	0.096	1.037	1.46	0.434	3.361	1.749	0.965	GM12878+
ADD1	0.709	0.251	0.235	0.274	0.887	-0.174	0.106	NoDiff
ADGRA3	0.004	11.646	12.463	10.481	1.321	0.402	0.824	NoDiff
ADGRF3	0.006	5.276	6.638	3.334	2.197	1.135	0.804	NoDiff
ADH5	0.8	0.118	0.104	0.138	0.749	-0.418	0.392	NoDiff
ADI1	1.348	0.244	0.244	0.244	0.998	-0.003	0.02	ExcludedFromTesting
ADIPOR1	1.074	0.028	0.028	0.027	1.091	0.126	0.673	NoDiff
ADORA3	0.004	7.844	8.221	7.306	1.206	0.27	0.804	NoDiff
ADPRH	0.103	0.316	0.439	0.141	3.612	1.853	0.859	NoDiff
ADPRHL2	0.506	0.121	0.097	0.156	0.593	-0.755	0.648	NoDiff
ADSS	0.423	0.124	0.115	0.137	0.854	-0.228	0.513	NoDiff
AF213884.2	0.007	7.222	8.794	4.982	2.1	1.07	0.784	NoDiff
AFAP1	0.004	20.005	24.027	14.269	1.502	0.587	0.734	NoDiff
AFAP1-AS1	0.011	21.58	22.345	20.489	1.147	0.198	0.789	ExcludedFromTesting
AFF1	0.189	0.265	0.215	0.335	0.669	-0.58	0.613	NoDiff
AFF3	0.049	5.705	6.592	4.44	1.521	0.605	0.528	ExcludedFromTesting
AFTPH	0.52	0.141	0.119	0.172	0.722	-0.469	0.482	NoDiff
AGAP1	0.004	17.242	20.956	11.946	1.445	0.531	0.774	ExcludedFromTesting
AGBL5	0.109	0.172	0.201	0.131	1.427	0.513	0.734	NoDiff
AGFG1	0.142	0.348	0.367	0.321	1.221	0.288	0.528	NoDiff
AGL	0.184	0.125	0.051	0.23	0.231	-2.116	0.91	NoDiff
AGMAT	0.13	1.373	1.79	0.78	2.285	1.192	0.879	ExcludedFromTesting
AGO1	0.1	0.255	0.289	0.206	1.475	0.56	0.658	NoDiff
AGO3	0.235	0.152	0.185	0.104	1.922	0.942	0.678	NoDiff
AGO4	0.034	0.49	0.528	0.437	1.139	0.188	0.688	NoDiff
AGPS	0.219	0.152	0.068	0.271	0.305	-1.713	0.879	NoDiff
AGRN	0.045	1.748	1.725	1.782	0.938	-0.092	0.553	NoDiff
AGTRAP	0.124	0.352	0.402	0.28	1.436	0.522	0.613	NoDiff
AHCTF1	0.109	0.163	0.179	0.139	1.382	0.467	0.804	NoDiff
AHCYL1	0.383	0.211	0.221	0.196	1.112	0.153	0.307	NoDiff
AHDC1	0.031	0.868	0.954	0.744	1.202	0.265	0.673	ExcludedFromTesting
AHSA2	0.245	0.398	0.442	0.334	1.35	0.433	0.437	NoDiff
AIDA	0.32	0.322	0.434	0.161	2.665	1.414	0.905	NoDiff
AIM1L	0.003	18.649	17.829	19.82	0.773	-0.372	0.849	NoDiff
AIM2	0.794	1.166	1.053	1.327	0.786	-0.347	0.02	NoDiff
AIMP1	1.106	0.103	0.083	0.131	0.635	-0.655	0.578	NoDiff
AK2	1.109	0.175	0.19	0.155	1.239	0.31	0.111	NoDiff
AK4	0.607	1.458	2.181	0.428	5.169	2.37	1	ExcludedFromTesting
AKIRIN1	0.88	0.149	0.166	0.124	1.346	0.429	0.332	NoDiff
AKR1A1	2.245	0.079	0.077	0.081	0.955	-0.066	0.06	NoDiff
AKR7A2	1.078	0.074	0.079	0.066	1.163	0.218	0.307	NoDiff
AKR7A3	0.003	39.504	46.156	30.02	2.904	1.538	0.859	NoDiff
AKT3	0.05	0.547	0.619	0.445	1.497	0.582	0.663	NoDiff
AL133245.2	0.032	0.73	0.691	0.784	0.961	-0.058	0.719	NoDiff
AL365181.2	0.009	3.202	3.963	2.117	2.095	1.067	0.784	NoDiff
AL513523.2	0.002	18.876	15.975	23.013	0.455	-1.135	0.784	ExcludedFromTesting
ALAS1	0.432	0.338	0.414	0.23	1.775	0.828	0.729	NoDiff
ALCAM	0.254	0.571	0.564	0.58	0.954	-0.068	0.166	NoDiff
ALDH4A1	0.063	0.376	0.426	0.305	1.31	0.39	0.719	NoDiff
ALDH9A1	0.578	0.107	0.099	0.119	0.824	-0.279	0.462	NoDiff
ALG14	0.268	0.277	0.4	0.101	3.854	1.946	0.98	GM12878+
ALG1L	0.006	22.116	4.016	47.924	0.079	-3.659	0.93	NoDiff
ALG3	0.679	0.181	0.198	0.156	1.256	0.329	0.296	NoDiff
ALG6	0.097	0.244	0.142	0.389	0.426	-1.233	0.809	NoDiff
ALMS1	0.038	0.566	0.697	0.379	2.149	1.104	0.764	NoDiff
ALPK1	0.067	2.587	3.344	1.509	2.254	1.172	0.844	NoDiff
ALS2	0.04	0.314	0.219	0.451	0.507	-0.981	0.774	NoDiff
ALS2CR12	0.003	13.627	11.951	16.016	0.948	-0.077	0.749	NoDiff
AMIGO1	0.005	25.403	39.781	4.902	8.367	3.065	0.935	NoDiff
AMMECR1L	0.035	0.76	0.853	0.628	1.542	0.625	0.734	NoDiff
AMPD2	0.122	0.175	0.152	0.208	0.763	-0.39	0.698	NoDiff
AMT	0.016	1.29	1.576	0.881	1.986	0.99	0.789	NoDiff
AMY2B	0.016	2.575	2.82	2.225	1.339	0.421	0.769	NoDiff
ANAPC1	0.135	0.194	0.179	0.215	0.77	-0.376	0.693	NoDiff
ANAPC13	0.999	0.08	0.093	0.061	1.465	0.551	0.482	NoDiff
ANAPC4	0.118	0.222	0.231	0.209	0.961	-0.057	0.693	NoDiff
ANGEL2	0.225	0.089	0.095	0.08	1.181	0.24	0.749	NoDiff
ANKAR	0.045	0.426	0.415	0.442	0.897	-0.157	0.754	NoDiff
ANKMY1	0.053	0.617	0.852	0.282	2.801	1.486	0.769	NoDiff
ANKRD13C	0.127	0.129	0.071	0.211	0.319	-1.65	0.819	NoDiff
ANKRD17	0.348	0.107	0.114	0.097	1.14	0.189	0.623	NoDiff
ANKRD23	0.006	6.461	9.061	2.754	3.274	1.711	0.905	NoDiff
ANKRD28	0.619	0.774	0.698	0.881	0.791	-0.338	0.101	ExcludedFromTesting
ANKRD34A	0.017	1.616	2.241	0.726	2.944	1.558	0.849	ExcludedFromTesting
ANKRD35	0.001	13.186	14.388	11.472	1.012	0.017	0.799	NoDiff
ANKRD36	0.088	0.819	1.005	0.555	1.917	0.939	0.719	NoDiff
ANKRD36B	0.087	0.423	0.225	0.707	0.312	-1.681	0.804	NoDiff
ANKRD36C	0.113	0.604	0.393	0.904	0.427	-1.227	0.739	NoDiff
ANKRD39	0.635	0.11	0.101	0.124	0.833	-0.264	0.407	NoDiff
ANKRD44	0.74	0.494	0.42	0.599	0.709	-0.497	0.327	NoDiff
ANKRD45	0.006	534.031	902.14	9.148	69.406	6.117	0.965	GM12878+
ANKRD65	0.006	6.708	3.473	11.321	0.24	-2.056	0.859	ExcludedFromTesting
ANKZF1	0.299	0.272	0.269	0.275	0.981	-0.028	0.422	NoDiff
ANO10	0.024	1.986	2.656	1.031	2.45	1.293	0.799	NoDiff
ANO7	0.007	10.177	15.378	2.761	5.691	2.509	0.879	ExcludedFromTesting
ANP32E	0.774	0.53	0.563	0.482	1.167	0.223	0.025	ExcludedFromTesting
ANTXR2	0.112	1.46	1.487	1.421	1.065	0.091	0.332	NoDiff
ANXA3	0.004	8.221	11.024	4.225	3.054	1.611	0.849	NoDiff
ANXA4	0.709	0.443	0.573	0.258	2.211	1.145	0.965	GM12878+
AP006222.2	0.146	0.211	0.239	0.171	1.374	0.459	0.668	NoDiff
AP1AR	0.046	0.605	0.71	0.456	1.529	0.613	0.698	NoDiff
AP1S3	0.237	0.575	0.513	0.664	0.767	-0.382	0.302	NoDiff
AP2M1	2.544	0.066	0.066	0.066	0.985	-0.022	0.075	NoDiff
AP4B1	0.132	0.239	0.339	0.097	3.217	1.686	0.884	NoDiff
AP4B1-AS1	0.007	7.565	9.5	4.806	2.098	1.069	0.784	NoDiff
APBB2	0.033	0.895	0.786	1.05	0.668	-0.583	0.749	ExcludedFromTesting
APEH	0.485	0.093	0.093	0.092	1.042	0.059	0.558	NoDiff
APH1A	1.712	0.066	0.069	0.06	1.177	0.235	0.226	NoDiff
APITD1	0.192	0.437	0.386	0.511	0.752	-0.41	0.422	NoDiff
APITD1-CORT	0.015	4.445	6.844	1.023	6.473	2.694	0.945	NoDiff
APLF	0.026	0.566	0.547	0.592	0.984	-0.023	0.789	NoDiff
APOA1BP	1.052	0.106	0.112	0.099	1.112	0.154	0.226	NoDiff
APOD	0.004	86.308	29.248	167.67	0.17	-2.561	0.93	NoDiff
APPL1	0.77	0.123	0.138	0.102	1.404	0.49	0.432	NoDiff
ARAP2	0.102	1.072	0.673	1.641	0.386	-1.374	0.834	NoDiff
AREG	0.011	1080.472	480.007	1936.667	0.263	-1.925	0.879	NoDiff
ARF1	3.786	0.096	0.101	0.089	1.127	0.173	0.015	NoDiff
ARF4	1.848	0.511	0.502	0.525	0.949	-0.076	0	ExcludedFromTesting
ARF4-AS1	0.046	0.557	0.552	0.565	0.904	-0.146	0.714	NoDiff
ARHGAP15	0.843	0.227	0.168	0.31	0.545	-0.877	0.819	NoDiff
ARHGAP24	0.044	8.344	8.138	8.639	0.915	-0.128	0.472	ExcludedFromTesting
ARHGAP25	0.103	2.38	1.876	3.099	0.593	-0.754	0.683	NoDiff
ARHGAP29	0.002	17.379	17.794	16.787	1.704	0.769	0.839	ExcludedFromTesting
ARHGAP30	1.296	0.202	0.199	0.207	0.973	-0.04	0	NoDiff
ARHGAP31	0.072	0.565	0.583	0.54	0.991	-0.013	0.643	NoDiff
ARHGAP31-AS1	0.003	25.419	16.647	37.928	0.23	-2.121	0.899	NoDiff
ARHGEF10L	0.003	23.365	18.82	29.846	0.449	-1.154	0.854	NoDiff
ARHGEF11	0.007	4.98	5.23	4.622	1.104	0.142	0.749	NoDiff
ARHGEF19	0.047	1.3	1.836	0.536	3.577	1.839	0.844	NoDiff
ARHGEF2	0.619	0.224	0.245	0.194	1.25	0.321	0.307	NoDiff
ARHGEF26	0.038	0.582	0.688	0.431	1.602	0.68	0.724	NoDiff
ARHGEF3	0.115	1.793	1.062	2.834	0.355	-1.495	0.915	ExcludedFromTesting
ARID1A	0.585	0.088	0.115	0.049	2.293	1.198	0.794	NoDiff
ARID4B	0.963	0.243	0.255	0.225	1.136	0.184	0.055	NoDiff
ARID5A	1.358	0.531	0.563	0.487	1.145	0.195	0.01	NoDiff
ARIH2	0.583	0.099	0.085	0.118	0.716	-0.483	0.548	NoDiff
ARIH2OS	0.081	0.27	0.285	0.248	1.205	0.269	0.683	NoDiff
ARL13B	0.065	0.856	0.673	1.117	0.608	-0.717	0.643	NoDiff
ARL4C	0.115	5.755	4.705	7.253	0.657	-0.607	0.533	NoDiff
ARL5A	3.253	0.357	0.339	0.383	0.877	-0.19	0	NoDiff
ARL6	0.032	0.629	0.542	0.752	0.794	-0.332	0.693	NoDiff
ARL6IP5	2.22	0.405	0.456	0.332	1.366	0.45	0.075	NoDiff
ARL6IP6	0.299	0.485	0.558	0.381	1.5	0.585	0.497	NoDiff
ARL8A	0.3	0.092	0.06	0.137	0.422	-1.245	0.774	NoDiff
ARL8B	0.433	0.166	0.2	0.117	1.764	0.819	0.623	NoDiff
ARMC8	0.262	0.046	0.036	0.06	0.664	-0.591	0.744	NoDiff
ARMC9	0.066	0.757	0.962	0.464	1.944	0.959	0.698	NoDiff
ARNT	0.161	0.281	0.243	0.336	0.69	-0.536	0.618	NoDiff
ARPC2	19.029	0.159	0.182	0.128	1.42	0.505	0.151	NoDiff
ARPC4	3.983	0.136	0.172	0.085	2.012	1.008	1	GM12878+
ARPC4-TTLL3	0.001	12.876	13.954	11.339	0.874	-0.194	0.859	ExcludedFromTesting
ARPC5	7.457	0.271	0.307	0.219	1.406	0.491	0.126	NoDiff
ARV1	0.296	0.179	0.201	0.147	1.39	0.475	0.578	NoDiff
ASB1	0.3	0.099	0.066	0.146	0.496	-1.011	0.729	NoDiff
ASB3	0.063	0.267	0.249	0.291	0.85	-0.234	0.764	ExcludedFromTesting
ASH1L	0.68	0.161	0.151	0.174	0.851	-0.233	0.291	NoDiff
ASH1L-AS1	0.113	1.302	1.156	1.509	0.783	-0.352	0.332	NoDiff
ASNSD1	0.711	0.132	0.068	0.223	0.313	-1.678	0.99	GM18502+
ASPM	0.038	3.112	1.72	5.098	0.335	-1.579	0.915	ExcludedFromTesting
ASPRV1	0.003	15.831	16.456	14.941	0.904	-0.146	0.804	NoDiff
ASTE1	0.078	0.298	0.254	0.361	0.666	-0.586	0.688	NoDiff
ASXL2	0.117	0.179	0.215	0.127	1.708	0.772	0.744	NoDiff
ATAD2B	0.167	0.247	0.241	0.256	0.869	-0.202	0.528	NoDiff
ATAD3A	0.264	0.447	0.439	0.459	0.958	-0.062	0.206	NoDiff
ATAD3B	0.234	0.95	0.928	0.98	0.95	-0.074	0.05	NoDiff
ATAD3C	0.157	0.664	1.056	0.104	10.459	3.387	0.985	ExcludedFromTesting
ATF2	0.215	0.202	0.28	0.092	2.781	1.476	0.849	NoDiff
ATF3	0.081	8.453	9.345	7.182	1.306	0.385	0.241	NoDiff
ATF6	0.391	0.165	0.183	0.139	1.345	0.428	0.482	NoDiff
