GeneName	MeanOverall	Mean1	Mean2	MeanFC	MeanLog2FC	ProbDiffMean	ResultDiffMean
AC009506.1	0.033	0.03	0.038	0.793	-0.334	0.055	NoDiff
AC009948.5	0.135	0.147	0.118	1.25	0.322	0.05	NoDiff
AC009950.2	0.011	0.009	0.015	0.643	-0.637	0.608	NoDiff
AC009961.3	0.023	0.022	0.025	0.899	-0.154	0.025	NoDiff
AC010883.5	0.019	0.021	0.017	1.187	0.247	0.075	NoDiff
AC010884.1	0.004	0.004	0.003	1.247	0.318	0.613	NoDiff
AC010894.3	0.016	0.016	0.017	0.93	-0.105	0.025	NoDiff
AC011747.4	0.009	0.006	0.014	0.469	-1.091	0.965	GM18502+
AC011893.3	0.046	0.033	0.064	0.507	-0.979	0.99	GM18502+
AC011997.1	0.023	0.034	0.007	4.985	2.318	1	GM12878+
AC012358.8	0.019	0.022	0.015	1.421	0.507	0.377	NoDiff
AC012360.4	0.008	0.008	0.007	1.054	0.076	0.126	NoDiff
AC012360.6	0.005	0.007	0.003	2.13	1.091	0.814	NoDiff
AC012442.6	0.002	0.001	0.003	0.253	-1.982	1	GM18502+
AC012456.4	0.003	0.003	0.003	1.073	0.102	0.402	NoDiff
AC013264.2	0.022	0.016	0.031	0.505	-0.985	0.975	GM18502+
AC013461.1	0.193	0.158	0.242	0.65	-0.622	0.633	NoDiff
AC015969.3	0.004	0.005	0.004	1.245	0.316	0.271	NoDiff
AC016683.5	0.007	0.006	0.009	0.593	-0.754	0.683	NoDiff
AC016700.5	0.036	0.035	0.038	0.935	-0.097	0.146	NoDiff
AC016745.3	0.001	0.001	0.002	0.344	-1.539	0.975	GM18502+
AC016907.3	0.004	0.004	0.002	1.891	0.919	0.698	NoDiff
AC018816.3	0.005	0.004	0.005	0.917	-0.125	0.201	NoDiff
AC018890.6	0.003	0.001	0.007	0.129	-2.957	1	GM18502+
AC021188.4	0.011	0.011	0.011	1.004	0.005	0.06	NoDiff
AC024560.2	0.013	0.001	0.03	0.066	-3.913	1	GM18502+
AC024704.2	0.003	0.003	0.003	1.002	0.002	0.317	NoDiff
AC026202.3	0.064	0.082	0.038	2.169	1.117	0.98	GM12878+
AC046143.3	0.001	0.001	0.001	1.13	0.176	0	NoDiff
AC062017.1	0.041	0.044	0.037	1.182	0.242	0.025	NoDiff
AC062029.1	0.039	0.047	0.028	1.641	0.715	0.804	NoDiff
AC068282.3	0.003	0.003	0.004	0.699	-0.516	0.442	NoDiff
AC069277.2	0.037	0.044	0.027	1.582	0.661	0.739	NoDiff
AC069513.4	0.007	0.008	0.006	1.416	0.501	0.442	NoDiff
AC072062.1	0.02	0.026	0.011	2.274	1.186	0.995	GM12878+
AC073283.7	0.004	0.004	0.003	1.436	0.522	0.492	NoDiff
AC073284.4	0.009	0.007	0.012	0.52	-0.944	0.643	NoDiff
AC074117.10	0.038	0.036	0.039	0.933	-0.099	0.06	NoDiff
AC074289.1	0.846	0.796	0.918	0.867	-0.207	0	NoDiff
AC078883.3	0.082	0.09	0.07	1.289	0.366	0.241	NoDiff
AC079354.5	0.003	0.003	0.004	0.661	-0.596	0.513	NoDiff
AC079610.2	0.005	0.006	0.003	2.321	1.215	0.889	NoDiff
AC079767.4	0.143	0.14	0.146	0.951	-0.072	0	NoDiff
AC079807.2	0.009	0.009	0.008	1.195	0.257	0.136	NoDiff
AC079922.3	0.011	0.009	0.014	0.69	-0.535	0.442	NoDiff
AC083949.1	0.004	0.003	0.004	0.798	-0.326	0.312	NoDiff
AC092580.4	0.011	0.012	0.011	1.057	0.08	0.085	NoDiff
AC092835.2	0.003	0.003	0.003	1.288	0.365	0.362	NoDiff
AC093110.3	0.003	0.003	0.003	1.168	0.224	0.362	NoDiff
AC093159.1	0.006	0.007	0.004	1.496	0.581	0.492	NoDiff
AC093323.3	0.062	0.056	0.069	0.8	-0.322	0.055	NoDiff
AC093382.1	0.004	0.004	0.005	0.767	-0.382	0.296	NoDiff
AC093388.3	0.013	0.014	0.013	1.077	0.107	0.02	NoDiff
AC093495.4	0.003	0.003	0.003	1.007	0.01	0.286	NoDiff
AC093609.1	0.005	0.003	0.009	0.296	-1.758	0.859	NoDiff
AC093642.3	0.003	0.002	0.005	0.504	-0.987	0.844	NoDiff
AC093818.1	0.073	0.068	0.08	0.845	-0.242	0.101	NoDiff
AC096579.13	0.009	0.015	0.001	23.817	4.574	1	GM12878+
AC096772.6	0.009	0.01	0.008	1.272	0.347	0.236	NoDiff
AC097495.2	0.014	0.016	0.01	1.569	0.65	0.583	NoDiff
AC097662.2	0.004	0.004	0.005	0.955	-0.067	0.171	NoDiff
AC097721.2	0.004	0.004	0.003	1.332	0.414	0.422	NoDiff
AC097724.3	0.006	0.007	0.005	1.448	0.534	0.452	NoDiff
AC098820.4	0.006	0.008	0.004	1.749	0.807	0.754	NoDiff
AC104653.1	0.011	0.011	0.012	0.977	-0.033	0.03	NoDiff
AC104654.2	0.003	0.001	0.007	0.082	-3.61	1	GM18502+
AC104655.3	0.002	0.001	0.004	0.169	-2.563	1	GM18502+
AC104699.1	0.344	0.372	0.304	1.226	0.294	0	NoDiff
AC104820.2	0.042	0.051	0.029	1.72	0.782	0.869	NoDiff
AC105760.2	0.014	0.01	0.019	0.548	-0.867	0.844	NoDiff
AC107081.5	0.004	0.004	0.004	0.899	-0.153	0.266	NoDiff
AC108488.4	0.003	0.003	0.003	0.899	-0.154	0.276	NoDiff
AC109642.1	0.004	0.004	0.004	1.132	0.179	0.226	NoDiff
AC109826.1	0.021	0.033	0.004	8.411	3.072	1	GM12878+
AC114730.3	0.021	0.007	0.041	0.31	-1.69	0.804	NoDiff
AC114776.3	0.009	0.006	0.013	0.635	-0.655	0.583	NoDiff
AC116614.1	0.006	0.005	0.008	0.588	-0.767	0.704	NoDiff
AC123023.1	0.018	0.003	0.039	0.096	-3.375	0.784	NoDiff
AC133528.2	0.011	0.014	0.007	2.041	1.029	0.935	NoDiff
AC133644.2	0.007	0.008	0.005	1.612	0.689	0.613	NoDiff
AC142528.1	0.03	0.031	0.028	1.097	0.134	0.005	NoDiff
AC159540.1	0.047	0.048	0.046	1.043	0.061	0	NoDiff
AC195454.1	0.004	0.004	0.005	0.756	-0.404	0.342	NoDiff
AC241585.2	0.026	0.02	0.034	0.573	-0.804	0.889	NoDiff
AC245100.1	0.151	0.155	0.146	1.067	0.094	0	NoDiff
ACAA1	1.253	1.16	1.386	0.838	-0.256	0	NoDiff
ACAD11	0.013	0.013	0.014	0.903	-0.147	0.035	NoDiff
ACAD9	0.105	0.101	0.111	0.919	-0.122	0.156	NoDiff
ACADM	1.779	1.959	1.523	1.278	0.354	0	NoDiff
ACAP2	0.441	0.438	0.445	0.979	-0.031	0	NoDiff
ACAP3	0.16	0.192	0.114	1.677	0.745	0.955	GM12878+
ACBD3	0.459	0.56	0.315	1.784	0.835	1	GM12878+
ACBD6	0.675	0.637	0.729	0.866	-0.207	0	NoDiff
ACKR1	0.034	0.031	0.039	0.789	-0.342	0.101	NoDiff
ACKR2	0.003	0.003	0.003	1.115	0.156	0.382	NoDiff
ACKR3	0.005	0.003	0.006	0.546	-0.872	0.719	NoDiff
ACKR4	0.003	0.003	0.004	0.791	-0.339	0.538	NoDiff
ACOT11	0.008	0.006	0.01	0.611	-0.711	0.618	NoDiff
ACOT7	0.52	0.419	0.663	0.634	-0.658	0.965	GM18502+
ACOX3	0.147	0.153	0.139	1.11	0.15	0	NoDiff
ACOXL	0.02	0.016	0.025	0.62	-0.69	0.668	NoDiff
ACP1	2.906	2.615	3.321	0.784	-0.352	0	NoDiff
ACP6	0.09	0.081	0.103	0.794	-0.332	0.146	NoDiff
ACSL3	0.209	0.207	0.21	0.988	-0.018	0	NoDiff
ACTG2	0.003	0.003	0.003	1.133	0.18	0.422	NoDiff
ACTL6A	0.3	0.296	0.306	0.958	-0.062	0	NoDiff
ACTR1B	0.555	0.506	0.624	0.806	-0.311	0	NoDiff
ACTR2	1.55	1.508	1.609	0.939	-0.091	0	NoDiff
ACTR3	3.359	3.09	3.742	0.82	-0.286	0	NoDiff
ACTR8	0.224	0.232	0.213	1.096	0.133	0	NoDiff
ACTRT3	0.005	0.004	0.006	0.746	-0.423	0.382	NoDiff
ACVR1	0.013	0.015	0.01	1.422	0.508	0.392	NoDiff
ACVR1C	0.002	0	0.003	0.089	-3.486	1	GM18502+
ACVR2A	0.011	0.014	0.008	1.763	0.818	0.809	NoDiff
ACVR2B	0.007	0.007	0.006	1.136	0.184	0.176	NoDiff
ACY1	0.01	0.008	0.013	0.594	-0.752	0.734	NoDiff
ACYP2	0.481	0.574	0.35	1.636	0.71	0.99	GM12878+
ADAM15	0.068	0.067	0.071	0.95	-0.075	0.02	NoDiff
ADAM17	0.257	0.277	0.228	1.22	0.287	0	NoDiff
ADAM23	0.023	0.026	0.02	1.339	0.421	0.196	NoDiff
ADAMTS4	0.009	0.009	0.009	0.941	-0.088	0.101	NoDiff
ADAMTSL4	0.004	0.004	0.003	1.098	0.135	0.638	NoDiff
ADAR	1.643	1.671	1.602	1.043	0.061	0	NoDiff
ADCK3	0.114	0.123	0.102	1.205	0.269	0.025	NoDiff
ADCY3	0.096	0.076	0.125	0.615	-0.701	0.864	NoDiff
ADD1	0.709	0.777	0.611	1.275	0.351	0	NoDiff
ADGRA3	0.004	0.004	0.003	1.245	0.317	0.342	NoDiff
ADGRF3	0.006	0.005	0.008	0.581	-0.783	0.693	NoDiff
ADH5	0.8	0.753	0.867	0.865	-0.21	0	NoDiff
ADI1	1.348	1.639	0.931	1.76	0.815	1	GM12878+
ADIPOR1	1.074	1.101	1.036	1.065	0.091	0	NoDiff
ADORA3	0.004	0.004	0.005	0.708	-0.497	0.447	NoDiff
ADPRH	0.103	0.099	0.109	0.904	-0.146	0.085	NoDiff
ADPRHL2	0.506	0.427	0.619	0.691	-0.533	0.106	NoDiff
ADSS	0.423	0.411	0.441	0.934	-0.099	0	NoDiff
AF213884.2	0.007	0.007	0.006	1.112	0.153	0.126	NoDiff
AFAP1	0.004	0.004	0.004	0.793	-0.334	0.317	NoDiff
AFAP1-AS1	0.011	0.017	0.003	6.597	2.722	1	GM12878+
AFF1	0.189	0.192	0.184	1.044	0.062	0	NoDiff
AFF3	0.049	0.034	0.071	0.47	-1.089	0.99	GM18502+
AFTPH	0.52	0.517	0.526	0.988	-0.018	0	NoDiff
AGAP1	0.004	0.001	0.009	0.098	-3.348	1	GM18502+
AGBL5	0.109	0.102	0.119	0.864	-0.211	0.025	NoDiff
AGFG1	0.142	0.127	0.164	0.77	-0.378	0.04	NoDiff
AGL	0.184	0.192	0.171	1.13	0.176	0	NoDiff
AGMAT	0.13	0.1	0.171	0.585	-0.772	0.98	GM18502+
AGO1	0.1	0.101	0.099	1.021	0.031	0.01	NoDiff
AGO3	0.235	0.254	0.207	1.21	0.275	0	NoDiff
AGO4	0.034	0.036	0.031	1.152	0.204	0.07	NoDiff
AGPS	0.219	0.212	0.23	0.92	-0.12	0	NoDiff
AGRN	0.045	0.044	0.047	0.947	-0.078	0.06	NoDiff
AGTRAP	0.124	0.111	0.144	0.777	-0.364	0.09	NoDiff
AHCTF1	0.109	0.105	0.114	0.914	-0.129	0.236	NoDiff
AHCYL1	0.383	0.37	0.401	0.923	-0.116	0	NoDiff
AHDC1	0.031	0.02	0.047	0.425	-1.233	1	GM18502+
AHSA2	0.245	0.273	0.205	1.33	0.411	0	NoDiff
AIDA	0.32	0.323	0.315	1.025	0.035	0	NoDiff
AIM1L	0.003	0.003	0.003	1.215	0.281	0.312	NoDiff
AIM2	0.794	0.781	0.812	0.967	-0.048	0	NoDiff
AIMP1	1.106	1.113	1.095	1.023	0.033	0	NoDiff
AK2	1.109	0.994	1.275	0.78	-0.359	0	NoDiff
AK4	0.607	0.182	1.212	0.15	-2.733	1	GM18502+
AKIRIN1	0.88	0.797	0.999	0.796	-0.329	0	NoDiff
AKR1A1	2.245	2.342	2.106	1.111	0.151	0	NoDiff
AKR7A2	1.078	1.02	1.162	0.878	-0.187	0	NoDiff
AKR7A3	0.003	0.003	0.003	1.24	0.311	0.528	NoDiff
AKT3	0.05	0.041	0.063	0.643	-0.637	0.643	NoDiff
AL133245.2	0.032	0.035	0.028	1.24	0.311	0.06	NoDiff
AL365181.2	0.009	0.008	0.01	0.818	-0.29	0.176	NoDiff
AL513523.2	0.002	0.001	0.003	0.277	-1.853	0.99	GM18502+
ALAS1	0.432	0.464	0.387	1.2	0.263	0	NoDiff
ALCAM	0.254	0.278	0.221	1.257	0.329	0	NoDiff
ALDH4A1	0.063	0.072	0.051	1.412	0.498	0.291	NoDiff
ALDH9A1	0.578	0.611	0.53	1.156	0.21	0	NoDiff
ALG14	0.268	0.301	0.22	1.377	0.461	0.01	NoDiff
ALG1L	0.006	0.007	0.003	2.33	1.221	0.92	NoDiff
ALG3	0.679	0.673	0.688	0.978	-0.032	0	NoDiff
ALG6	0.097	0.099	0.095	1.04	0.056	0.01	NoDiff
ALMS1	0.038	0.041	0.033	1.213	0.278	0.03	NoDiff
ALPK1	0.067	0.063	0.074	0.866	-0.208	0.106	NoDiff
ALS2	0.04	0.045	0.033	1.38	0.465	0.276	NoDiff
ALS2CR12	0.003	0.003	0.004	0.842	-0.247	0.276	NoDiff
AMIGO1	0.005	0.004	0.005	0.797	-0.327	0.317	NoDiff
AMMECR1L	0.035	0.032	0.038	0.853	-0.229	0.07	NoDiff
AMPD2	0.122	0.112	0.137	0.816	-0.293	0	NoDiff
AMT	0.016	0.014	0.018	0.742	-0.43	0.216	NoDiff
AMY2B	0.016	0.018	0.014	1.351	0.434	0.261	NoDiff
ANAPC1	0.135	0.12	0.157	0.764	-0.388	0.01	NoDiff
ANAPC13	0.999	1.143	0.794	1.433	0.519	0.015	NoDiff
ANAPC4	0.118	0.124	0.109	1.146	0.196	0.151	NoDiff
ANGEL2	0.225	0.199	0.262	0.758	-0.4	0.005	NoDiff
ANKAR	0.045	0.046	0.043	1.078	0.109	0.04	NoDiff
ANKMY1	0.053	0.056	0.048	1.176	0.234	0.055	NoDiff
ANKRD13C	0.127	0.131	0.122	1.076	0.106	0.09	NoDiff
ANKRD17	0.348	0.32	0.388	0.826	-0.275	0	NoDiff
ANKRD23	0.006	0.005	0.008	0.556	-0.847	0.739	NoDiff
ANKRD28	0.619	0.807	0.35	2.304	1.204	1	GM12878+
ANKRD34A	0.017	0.011	0.026	0.421	-1.25	1	GM18502+
ANKRD35	0.001	0.001	0.001	1.073	0.101	0	NoDiff
ANKRD36	0.088	0.091	0.084	1.089	0.123	0.015	NoDiff
ANKRD36B	0.087	0.072	0.109	0.657	-0.607	0.573	NoDiff
ANKRD36C	0.113	0.097	0.136	0.71	-0.495	0.191	NoDiff
ANKRD39	0.635	0.607	0.675	0.901	-0.15	0	NoDiff
ANKRD44	0.74	0.722	0.765	0.941	-0.088	0	NoDiff
ANKRD45	0.006	0.008	0.004	1.447	0.534	0.799	NoDiff
ANKRD65	0.006	0.008	0.003	2.773	1.472	0.985	GM12878+
ANKZF1	0.299	0.246	0.373	0.664	-0.59	0.543	NoDiff
ANO10	0.024	0.019	0.031	0.626	-0.676	0.714	NoDiff
ANO7	0.007	0.004	0.012	0.373	-1.425	0.99	GM18502+
ANP32E	0.774	0.597	1.025	0.577	-0.795	1	GM18502+
ANTXR2	0.112	0.135	0.081	1.665	0.735	0.879	NoDiff
ANXA3	0.004	0.003	0.006	0.567	-0.819	0.719	NoDiff
ANXA4	0.709	0.765	0.63	1.213	0.279	0	NoDiff
AP006222.2	0.146	0.121	0.181	0.668	-0.582	0.472	NoDiff
AP1AR	0.046	0.044	0.048	0.924	-0.114	0.146	NoDiff
AP1S3	0.237	0.203	0.286	0.712	-0.489	0.08	NoDiff
AP2M1	2.544	2.517	2.582	0.966	-0.05	0	NoDiff
AP4B1	0.132	0.141	0.121	1.173	0.23	0.065	NoDiff
AP4B1-AS1	0.007	0.006	0.007	0.901	-0.151	0.126	NoDiff
APBB2	0.033	0.045	0.016	2.803	1.487	0.995	GM12878+
APEH	0.485	0.472	0.503	0.939	-0.091	0	NoDiff
APH1A	1.712	1.713	1.709	1.006	0.008	0	NoDiff
APITD1	0.192	0.176	0.214	0.823	-0.28	0	NoDiff
APITD1-CORT	0.015	0.013	0.018	0.711	-0.492	0.332	NoDiff
APLF	0.026	0.029	0.023	1.281	0.357	0.095	NoDiff
APOA1BP	1.052	1.002	1.123	0.888	-0.172	0	NoDiff
APOD	0.004	0.004	0.004	1.088	0.122	0.261	NoDiff
APPL1	0.77	0.726	0.834	0.874	-0.195	0	NoDiff
ARAP2	0.102	0.111	0.089	1.245	0.316	0.06	NoDiff
AREG	0.011	0.005	0.019	0.322	-1.634	0.844	NoDiff
ARF1	3.786	4.121	3.309	1.239	0.309	0	NoDiff
ARF4	1.848	2.273	1.243	1.836	0.877	1	GM12878+
ARF4-AS1	0.046	0.046	0.046	1.032	0.046	0	NoDiff
ARHGAP15	0.843	0.848	0.835	1.011	0.016	0	NoDiff
ARHGAP24	0.044	0.065	0.015	4.272	2.095	1	GM12878+
ARHGAP25	0.103	0.092	0.118	0.773	-0.372	0.015	NoDiff
ARHGAP29	0.002	0.003	0.001	4.792	2.261	1	GM12878+
ARHGAP30	1.296	1.17	1.475	0.796	-0.329	0	NoDiff
ARHGAP31	0.072	0.067	0.078	0.851	-0.233	0.146	NoDiff
ARHGAP31-AS1	0.003	0.003	0.003	1.032	0.046	0.452	NoDiff
ARHGEF10L	0.003	0.003	0.003	0.937	-0.094	0.457	NoDiff
ARHGEF11	0.007	0.007	0.006	1.135	0.183	0.256	NoDiff
ARHGEF19	0.047	0.044	0.052	0.853	-0.23	0.045	NoDiff
ARHGEF2	0.619	0.679	0.533	1.272	0.347	0	NoDiff
ARHGEF26	0.038	0.033	0.045	0.719	-0.476	0.176	NoDiff
ARHGEF3	0.115	0.158	0.054	2.966	1.568	1	GM12878+
ARID1A	0.585	0.553	0.63	0.879	-0.186	0	NoDiff
ARID4B	0.963	0.996	0.916	1.084	0.116	0	NoDiff
ARID5A	1.358	1.208	1.573	0.768	-0.38	0	NoDiff
ARIH2	0.583	0.564	0.611	0.923	-0.115	0	NoDiff
ARIH2OS	0.081	0.093	0.063	1.475	0.561	0.467	NoDiff
ARL13B	0.065	0.066	0.063	1.047	0.067	0.08	NoDiff
ARL4C	0.115	0.129	0.096	1.343	0.426	0.136	NoDiff
ARL5A	3.253	2.867	3.805	0.753	-0.409	0	NoDiff
ARL6	0.032	0.025	0.041	0.602	-0.732	0.754	NoDiff
ARL6IP5	2.22	2.384	1.985	1.198	0.261	0	NoDiff
ARL6IP6	0.299	0.326	0.26	1.264	0.338	0	NoDiff
ARL8A	0.3	0.286	0.319	0.891	-0.167	0	NoDiff
ARL8B	0.433	0.429	0.438	0.98	-0.029	0	NoDiff
ARMC8	0.262	0.258	0.266	0.963	-0.054	0	NoDiff
ARMC9	0.066	0.059	0.075	0.782	-0.355	0.055	NoDiff
ARNT	0.161	0.159	0.164	0.968	-0.047	0	NoDiff
ARPC2	19.029	16.167	23.11	0.7	-0.514	0	NoDiff
ARPC4	3.983	3.431	4.77	0.716	-0.482	0	NoDiff
ARPC4-TTLL3	0.001	0.001	0.002	0.233	-2.101	1	GM18502+
ARPC5	7.457	6.357	9.025	0.705	-0.503	0.005	NoDiff
ARV1	0.296	0.288	0.308	0.928	-0.107	0	NoDiff
ASB1	0.3	0.271	0.34	0.8	-0.323	0	NoDiff
ASB3	0.063	0.077	0.043	1.777	0.829	0.99	GM12878+
ASH1L	0.68	0.654	0.717	0.908	-0.139	0	NoDiff
ASH1L-AS1	0.113	0.096	0.138	0.698	-0.52	0.322	NoDiff
ASNSD1	0.711	0.672	0.766	0.876	-0.192	0	NoDiff
ASPM	0.038	0.027	0.054	0.505	-0.987	0.97	GM18502+
ASPRV1	0.003	0.003	0.003	0.914	-0.129	0.271	NoDiff
ASTE1	0.078	0.086	0.067	1.299	0.378	0.055	NoDiff
ASXL2	0.117	0.125	0.106	1.187	0.247	0.06	NoDiff
ATAD2B	0.167	0.161	0.175	0.924	-0.115	0	NoDiff
ATAD3A	0.264	0.24	0.298	0.802	-0.318	0	NoDiff
ATAD3B	0.234	0.2	0.282	0.707	-0.5	0.09	NoDiff
ATAD3C	0.157	0.076	0.273	0.276	-1.858	1	GM18502+
ATF2	0.215	0.247	0.17	1.445	0.531	0.216	NoDiff
ATF3	0.081	0.083	0.079	1.041	0.058	0.04	NoDiff
ATF6	0.391	0.399	0.381	1.042	0.059	0	NoDiff
ATG16L1	0.059	0.056	0.064	0.877	-0.189	0.02	NoDiff
ATG3	0.914	0.919	0.907	1.01	0.015	0	NoDiff
ATG4B	0.393	0.409	0.371	1.1	0.138	0	NoDiff
ATG4C	0.203	0.222	0.176	1.253	0.326	0	NoDiff
ATG7	0.083	0.086	0.078	1.108	0.148	0	NoDiff
ATG9A	0.101	0.096	0.107	0.897	-0.157	0.075	NoDiff
ATIC	0.786	0.791	0.779	1.019	0.027	0	NoDiff
ATL2	0.069	0.074	0.062	1.202	0.265	0.005	NoDiff
ATP10D	0.153	0.17	0.128	1.326	0.407	0.015	NoDiff
ATP11B	0.212	0.223	0.195	1.138	0.187	0	NoDiff
ATP13A2	0.157	0.124	0.204	0.604	-0.727	0.925	NoDiff
ATP13A3	0.172	0.163	0.186	0.879	-0.186	0	NoDiff
ATP13A4	0.003	0.003	0.004	0.762	-0.392	0.387	NoDiff
ATP1A1	1.123	0.969	1.342	0.719	-0.476	0	NoDiff
ATP1A4	0.004	0.003	0.005	0.743	-0.429	0.377	NoDiff
ATP1B1	0.073	0.073	0.073	0.982	-0.027	0.015	NoDiff
ATP1B3	1.48	1.344	1.675	0.802	-0.317	0	NoDiff
ATP2B4	0.017	0.01	0.026	0.401	-1.318	1	GM18502+
ATP2C1	0.325	0.298	0.362	0.821	-0.284	0	NoDiff
ATP5F1	4.377	3.978	4.944	0.807	-0.31	0	NoDiff
ATP5G3	12.907	11.331	15.154	0.746	-0.422	0	NoDiff
ATP5I	4.723	4.698	4.758	0.98	-0.029	0	NoDiff
ATP6V0B	3.467	3.748	3.067	1.218	0.285	0	NoDiff
ATP6V1A	0.246	0.254	0.234	1.083	0.115	0	NoDiff
ATP6V1B1	0.003	0.003	0.003	1.214	0.279	0.347	NoDiff
ATP6V1C2	0.005	0.006	0.005	1.264	0.338	0.307	NoDiff
ATP6V1E2	0.101	0.101	0.101	1.008	0.012	0.05	NoDiff
ATP8A1	0.291	0.26	0.336	0.777	-0.364	0	NoDiff
ATP8B2	0.047	0.06	0.029	2.083	1.059	0.97	GM12878+
ATPAF1	0.657	0.66	0.653	1.006	0.009	0	NoDiff
ATPIF1	7.199	7.631	6.582	1.165	0.22	0	NoDiff
ATR	0.069	0.07	0.069	1.027	0.039	0.07	NoDiff
ATRAID	2.168	2.328	1.94	1.199	0.262	0	NoDiff
ATRIP.1	0.004	0.004	0.005	0.73	-0.454	0.417	NoDiff
ATXN7	0.173	0.168	0.181	0.926	-0.111	0	NoDiff
ATXN7L2	0.029	0.026	0.032	0.831	-0.266	0.05	NoDiff
AUNIP	0.018	0.012	0.027	0.428	-1.226	0.99	GM18502+
AUP1	2.432	2.533	2.288	1.097	0.134	0	NoDiff
AURKAIP1	5.413	5.604	5.139	1.082	0.114	0	NoDiff
AXDND1	0.003	0.002	0.003	0.814	-0.297	0.352	NoDiff
AZI2	0.433	0.444	0.416	1.067	0.094	0	NoDiff
AZIN2	0.003	0.003	0.003	0.975	-0.036	0.241	NoDiff
B3GALNT1	0.015	0.006	0.029	0.193	-2.376	1	GM18502+
B3GALNT2	0.111	0.107	0.116	0.923	-0.116	0	NoDiff
B3GALT6	0.046	0.042	0.051	0.804	-0.315	0.09	NoDiff
B3GNT2	0.634	0.618	0.657	0.942	-0.086	0	NoDiff
B3GNT5	0.002	0.001	0.004	0.189	-2.402	1	GM18502+
B3GNT7	0.08	0.07	0.093	0.747	-0.421	0.181	NoDiff
B4GALT2	0.057	0.056	0.058	0.971	-0.043	0.02	NoDiff
